source_sheet,source_row,retailer,product_id,product,forecast_total_cases,promo_id,promotion_type,description,unmapped_reason
2025,3386,NA-LOBLAWS,TDL,TDL CAN,117140.0,000I3IE5R,Flyer,"TD MRKT WK 17 FLYER NCC/100G/LRG/SML CAN,KCUP 24/30CT/454g",Product ID not found in product list or no pack size
2025,3462,NA-LOBLAWS,TDL,TDL CAN,409328.0,000IT6311,Write Off,TD 2025 Invalid 2025 Wrong Rate - Jun,Product ID not found in product list or no pack size
2025,3491,NA-LOBLAWS,TDL,TDL CAN,14745.0,000IHUUOP,Display,TD RCSS WK 26 DMAP Tims,Product ID not found in product list or no pack size
2025,3512,NA-LOBLAWS,TDL,TDL CAN,265452.0,000IC97B1,Points,TD - LCL PC PLUS POINTS - Mass Q3,Product ID not found in product list or no pack size
2025,3551,NA-LOBLAWS,TDL,TDL CAN,65118.0,000IIH718,Display,TD MRKT WK 30 DMAP Tims,Product ID not found in product list or no pack size
2025,3590,NA-LOBLAWS,TDL,TDL CAN,73310.0,000ILIQAT,Display Allowance,TD Market Profit Panel - WK 34 - 37,Product ID not found in product list or no pack size
2025,3675,NA-LOBLAWS,TDL,TDL CAN,83325.0,000IPI432,Display,TD NF WK 50-53 Profit Gap (Front End),Product ID not found in product list or no pack size
2025,3677,NA-LOBLAWS,TDL,TDL CAN,80763.0,000IOHCQH,Display,TD Market Profit Panel - WK 38 - 41,Product ID not found in product list or no pack size
2025,3679,NA-LOBLAWS,TDL,TDL CAN,80763.0,000IOHCQC,Display,TD Market Tims IT,Product ID not found in product list or no pack size
2025,3742,NA-LOBLAWS,TDL,TDL CAN,82735.0,000IC97B6,Points,TD - LCL PC PLUS POINTS - Mass Q4,Product ID not found in product list or no pack size
2025,3751,NA-LOBLAWS,TDL,TDL CAN,70583.0,000IK09Q0,Display,TD LCL MRKT WK 42 Omni Placement IW RTS Soup,Product ID not found in product list or no pack size
2025,3757,NA-LOBLAWS,TDL,TDL CAN,65216.0,000IR3KEI,Display,TD MRKT Profit Panel - WK 42 - 45,Product ID not found in product list or no pack size
2025,3838,NA-LOBLAWS,TDL,TDL CAN,94623.0,000IUB5T7,Display,TD MRKT Profit Panel - WK 46 - 49,Product ID not found in product list or no pack size
2025,3840,NA-LOBLAWS,TDL,TDL CAN,94623.0,000IUB5TL,Display,TD SST Tim Hortons Hot Choc 45-52 W83 O36,Product ID not found in product list or no pack size
2025,3842,NA-LOBLAWS,TDL,TDL CAN,94162.0,000IV8JO8,Display,TD MRKT WK 47-49 COFFEE- BigBrand,Product ID not found in product list or no pack size
2025,3892,NA-LOBLAWS,TDL,TDL CAN,80412.0,000IO59ZB,Display,TD MRKT WK 47-49 SOUP- BigBrand,Product ID not found in product list or no pack size
2025,3995,NA-LOBLAWS,TDL,TDL CAN,6099.0,000IUL0TI,TPR/ISF,TD JBP - LCL Buffer - $300k,Product ID not found in product list or no pack size
2025,4014,NA-LONDON DRUGS,TDL,TDL CAN,3689.0,000HJDAC0,Ad Fee,TD - 300G DISPLAYERS - JAN 15,Product ID not found in product list or no pack size
2025,4019,NA-LONDON DRUGS,TDL,TDL CAN,2540.0,000HJEAPJ,Ad Fee,TD - FEB MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4025,NA-LONDON DRUGS,TDL,TDL CAN,1681.0,000HJEA6M,Ad Fee,TD - FEB SOUPS MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4030,NA-LONDON DRUGS,TDL,TDL CAN,420.0,000HJE4ZH,Ad Fee,TD - FEB 9 FLYER,Product ID not found in product list or no pack size
2025,4033,NA-LONDON DRUGS,TDL,TDL CAN,878.0,000HUQ9IF,Ad Fee,TD - FEB 13 FLYER,Product ID not found in product list or no pack size
2025,4037,NA-LONDON DRUGS,TDL,TDL CAN,3122.0,000HJDGXE,Ad Fee,TD - MARCH MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4049,NA-LONDON DRUGS,TDL,TDL CAN,1690.0,000HJDDX3,Ad Fee,TD MARCH 15 IN STORE,Product ID not found in product list or no pack size
2025,4062,NA-LONDON DRUGS,TDL,TDL CAN,476.0,000HJDD8J,Ad Fee,TD - MARCH 22 FLYER,Product ID not found in product list or no pack size
2025,4066,NA-LONDON DRUGS,TDL,TDL CAN,1161.0,000HUQ9JF,Ad Fee,TD - MARCH 28 FLYER,Product ID not found in product list or no pack size
2025,4075,NA-LONDON DRUGS,TDL,TDL CAN,1554.0,000HJE6QV,Ad Fee,TD - APRIL 4 ISF,Product ID not found in product list or no pack size
2025,4083,NA-LONDON DRUGS,TDL,TDL CAN,2723.0,000HJDH0B,Ad Fee,TD - APRIL POWER END,Product ID not found in product list or no pack size
2025,4091,NA-LONDON DRUGS,TDL,TDL CAN,726.0,000HJDODQ,Ad Fee,TD - APRIL 19 FLYER,Product ID not found in product list or no pack size
2025,4095,NA-LONDON DRUGS,TDL,TDL CAN,1336.0,000HJEDGA,Ad Fee,TD - MAY 10 INSTORE FLYER SOUPS/CHILI,Product ID not found in product list or no pack size
2025,4101,NA-LONDON DRUGS,TDL,TDL CAN,1444.0,000HJDRPZ,Ad Fee,TD - MAY 8 FLYER,Product ID not found in product list or no pack size
2025,4105,NA-LONDON DRUGS,TDL,TDL CAN,1607.0,000HJE3ZU,Ad Fee,TD MAY MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4140,NA-LONDON DRUGS,TDL,TDL CAN,1568.0,000HJEFUI,Ad Fee,TD JULY MANAGERS SPECIAL,Product ID not found in product list or no pack size
2025,4151,NA-LONDON DRUGS,TDL,TDL CAN,1752.0,000HJDY7S,Ad Fee,TD AUGUST MANAGERS SPECIAL,Product ID not found in product list or no pack size
