comparison_key,product_id,product,blended_product_group,blended_mpg,separate_product_group,separate_mpg,cases_per_display,converted,conversion_note
mom,TDIC-36/100,INSTANT COFFEE 36/100GR,Instant,Instant Coffee 12/100g,Instant Displays,Instant Coffee 36/100g,3.0,yes,Display pack 36/100G converted to regular case pack 12/100G
mom,6320919390,TDL NCOMP PDQ 24/10 CT,Nespresso,NComp 10/10ct,Nespresso Displays,NComp 24/10ct,2.4,yes,Display pack 24/10CT converted to regular case pack 10/10CT
mom,6320923323,TDL NCOMP DISPLAY 32/10 CT,Nespresso,NComp 10/10ct,Nespresso Displays,NComp 32/10ct,3.2,yes,Display pack 32/10CT converted to regular case pack 10/10CT
mom,6320923706,TDL COFFEE FINE GRIND 1/2 DRP 126/875 GR,Roast & Ground,R&G Large Can 6/930g,Roast & Ground Displays,R&G Large Can 126/930g,21.0,yes,Display pack 126/930G converted to regular case pack 6/930G
mom,6320923707,TDL COFFEE FINE/DARK 1/2 DRP 126/1 EA,Roast & Ground,R&G Large Can 6/930g,Roast & Ground Displays,R&G Large Can 126/930g,21.0,yes,Display pack 126/930G converted to regular case pack 6/930G
mom,TDRGLC-126/930,R&G LARGE CAN 126/930GR,Roast & Ground,R&G Large Can 6/930g,Roast & Ground Displays,R&G Large Can 126/930g,21.0,yes,Display pack 126/930G converted to regular case pack 6/930G
mom,6320912138,TDL ORIGINAL COFFEE DISPLAY 48/300 GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 48/300g,8.0,yes,Display pack 48/300G converted to regular case pack 6/300G
mom,6320912139,TDL ORG/DR COFFEE DISPLAY 48/300 GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 48/300g,8.0,yes,Display pack 48/300G converted to regular case pack 6/300G
mom,6320912437,TDL ORG/DR GROUND PDQ 24/300 GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 24/300g,4.0,yes,Display pack 24/300G converted to regular case pack 6/300G
mom,6320920675,TDL ORG/WINTER COFFEE DISPLAY 48/300 GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 48/300g,8.0,yes,Display pack 48/300G converted to regular case pack 6/300G
mom,TDRGSB-220/300,R&G SMALL BAG 220/300GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 220/300g,36.666667,yes,Display pack 220/300G converted to regular case pack 6/300G
mom,TDRGSB-48/300,R&G SMALL BAG 48/300GR,Roast & Ground,R&G Small Bag 6/300g,Roast & Ground Displays,R&G Small Bag 48/300g,8.0,yes,Display pack 48/300G converted to regular case pack 6/300G
mom,6320912129,TDL ORIGINAL KCUP SS 1/2 DRP 145/30 CT,Single Serve,SS KComp 4/30ct,Single Serve Displays,SS KComp 145/30ct,36.25,yes,Display pack 145/30CT converted to regular case pack 4/30CT
mom,6320912130,TDL ORG/DR KCUP SS 1/2 DRP 145/30 CT,Single Serve,SS KComp 4/30ct,Single Serve Displays,SS KComp 145/30ct,36.25,yes,Display pack 145/30CT converted to regular case pack 4/30CT
mom,6320912131,TDL ORG/DR/COL KCUP SS 1/2 DRP 145/30 CT,Single Serve,SS KComp 4/30ct,Single Serve Displays,SS KComp 145/30ct,36.25,yes,Display pack 145/30CT converted to regular case pack 4/30CT
mom,6320918750,6320918750,Single Serve,SS KComp 4/30ct,Single Serve Displays,SS KComp 16/30ct,4.0,yes,Display pack 16/30CT converted to regular case pack 4/30CT
mom,6320918750,TDL ORG KCUP DISPLAY 16/30 CT,Single Serve,SS KComp 4/30ct,Single Serve Displays,SS KComp 16/30ct,4.0,yes,Display pack 16/30CT converted to regular case pack 4/30CT
mom,TDSSKC-145/30,SS KCOMP 145/30CT,Single Serve,SS KComp 4/30ct,Single Serve Displays,SS KComp 145/30ct,36.25,yes,Display pack 145/30CT converted to regular case pack 4/30CT
mom,TDSSKC-16/30,SS KCOMP 16/30CT,Single Serve,SS KComp 4/30ct,Single Serve Displays,SS KComp 16/30ct,4.0,yes,Display pack 16/30CT converted to regular case pack 4/30CT
mom,6320920678,TDL WINTER/HC/FVC KCUP SS PDQ 24/10 CT,Single Serve,SS KComp 6/10ct,Single Serve Displays,SS KComp 24/10ct,4.0,yes,Display pack 24/10CT converted to regular case pack 6/10CT
mom,6320920753,TDL KCUP WINTER/ORG/FVC DISPLAY 48/10 CT,Single Serve,SS KComp 6/10ct,Single Serve Displays,SS KComp 48/10ct,8.0,yes,Display pack 48/10CT converted to regular case pack 6/10CT
mom,6320912132,TDL ORIGINAL KCUP DISPLAY 48/12 CT,Single Serve,SS KComp 6/12ct,Single Serve Displays,SS KComp 48/12ct,8.0,yes,Display pack 48/12CT converted to regular case pack 6/12CT
