retailer,year,month,mpg,product,product_id,source_product,unit_type,quantity,cases_per_drp,cases,source_sheet,source_row,promo_id,promotion_type,date_source,product_pack_size,base_pack_size,conversion_note
CG-SDM,2025,September,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,1056.0,,1056.0,2025,156,000HRCIKA,TPR/ISF,2025-09-01,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,September,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,953.0,,953.0,2025,168,000HRCOZ6,TPR/ISF,2025-09-22,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,October,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,998.0,,998.0,2025,182,000HRCF36,Display,2025-10-06,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,October,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,763.0,,763.0,2025,194,000HRCF4A,TPR/ISF,2025-10-20,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,November,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,848.0,,848.0,2025,214,000HRCIWW,TPR/ISF,2025-11-03,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,November,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,845.0,,845.0,2025,226,000IKST46,TPR/ISF,2025-11-17,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,December,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,894.0,,894.0,2025,242,000IMYWIZ,TPR/ISF,2025-12-01,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2025,December,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,848.0,,848.0,2025,254,000INU3ML,TPR/ISF,2025-12-15,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,January,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,1298.0,,1298.0,2026,14,000IORV7H,TPR/ISF,2026-01-01,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,January,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,1834.0,,1834.0,2026,30,000IORV83,TPR/ISF,2026-01-10,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,January,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,1380.0,,1380.0,2026,46,000IOS340,TPR/ISF,2026-01-24,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,February,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,813.0,,813.0,2026,61,000IUYRGR,TPR/ISF,2026-02-07,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,February,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,821.0,,821.0,2026,72,000IOR6XY,TPR/ISF,2026-02-21,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,March,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,829.0,,829.0,2026,86,000IYNUT8,TPR/ISF,2026-03-07,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,March,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,823.0,,823.0,2026,105,000J0SSE2,TPR/ISF,2026-03-21,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,April,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,804.0,,804.0,2026,115,000J0SSEC,TPR/ISF,2026-04-04,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,April,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,802.0,,802.0,2026,122,000J2ZZRV,TPR/ISF,2026-04-18,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,May,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,801.0,,801.0,2026,134,000J589XY,TPR/ISF,2026-05-02,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,May,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,803.0,,803.0,2026,150,000J7O6OT,TPR/ISF,2026-05-16,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,May,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,699.0,,699.0,2026,159,000IOS39O,TPR/ISF,2026-05-30,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,June,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,893.0,,893.0,2026,172,000IOS38M,TPR/ISF,2026-06-13,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,June,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,204.0,,204.0,2026,179,000IOWLXT,TPR/ISF,2026-06-27,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,July,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,771.0,,771.0,2026,189,000IOWLG3,TPR/ISF,2026-07-11,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,July,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,817.0,,817.0,2026,194,000IOWLBA,TPR/ISF,2026-07-28,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,August,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,770.0,,770.0,2026,203,000IOWLEW,TPR/ISF,2026-08-11,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,September,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,1057.0,,1057.0,2026,211,000IOWLE3,TPR/ISF,2026-09-01,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,September,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,952.0,,952.0,2026,217,000IOWLH6,TPR/ISF,2026-09-22,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,October,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,999.0,,999.0,2026,223,000IOWM2B,Display,2026-10-06,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,October,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,762.0,,762.0,2026,227,000IOWPEH,TPR/ISF,2026-10-20,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
CG-SDM,2026,November,Instant Coffee 12/100g,INSTANT COFFEE 12/100GR,TDIC-12/100,INSTANT COFFEE 12/100GR,CASE,847.0,,847.0,2026,236,000IOWPFZ,TPR/ISF,2026-11-03,Instant Coffee 12/100g,Instant Coffee 12/100g,Product-level forecast total cases
