comparison_key,data_mode,banner,market,year,period,month,product_group,mpg,product_id,product,promo_id,promo_status,promotion_type,execution_start,execution_end,source_fcst_inc_cases,unit_type,cases_per_display,converted_fcst_inc_cases,mode_fcst_inc_cases,prorate_weight,execution_days_in_month,execution_days_total,month_cases,source_workbook,source_sheet,source_row,conversion_note
yoy,separate,SDM,CG-SDM,2025,2025,May,Roast & Ground,R&G Large Can 6/930g,TDRGLC-6/930,R&G LARGE CAN 6/930GR,000HRCHS5,Closed,TPR/ISF,2025-05-17,2025-06-13,200.0,CASE,,200.0,200.0,0.53571429,15,28,107.142857,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,43,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jun,Roast & Ground,R&G Large Can 6/930g,TDRGLC-6/930,R&G LARGE CAN 6/930GR,000HRCHS5,Closed,TPR/ISF,2025-05-17,2025-06-13,200.0,CASE,,200.0,200.0,0.46428571,13,28,92.857143,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,43,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jun,Roast & Ground,R&G Large Can 6/930g,TDRGLC-6/930,R&G LARGE CAN 6/930GR,000HRCHS5,Closed,TPR/ISF,2025-05-17,2025-06-13,200.0,CASE,,200.0,200.0,0.46428571,13,28,92.857143,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,43,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,May,Single Serve,SS KComp 4/30ct,TDSSKC-4/30,SS KCOMP 4/30CT,000HRCG2Q,Closed,TPR/ISF,2025-05-17,2025-06-20,290.0,CASE,,290.0,290.0,0.42857143,15,35,124.285714,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,47,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,May,Single Serve,SS KComp 4/30ct,TDSSKC-4/30,SS KCOMP 4/30CT,000HRCG2Q,Closed,TPR/ISF,2025-05-17,2025-06-20,290.0,CASE,,290.0,290.0,0.42857143,15,35,124.285714,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,47,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,Jun,Single Serve,SS KComp 4/30ct,TDSSKC-4/30,SS KCOMP 4/30CT,000HRCG2Q,Closed,TPR/ISF,2025-05-17,2025-06-20,290.0,CASE,,290.0,290.0,0.57142857,20,35,165.714286,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,47,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,Jun,Single Serve,SS KComp 4/30ct,TDSSKC-4/30,SS KCOMP 4/30CT,000HRCG2Q,Closed,TPR/ISF,2025-05-17,2025-06-20,290.0,CASE,,290.0,290.0,0.57142857,20,35,165.714286,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,47,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,May,Single Serve,SS KComp 6/12ct,TDSSKC-6/12,SS KCOMP 6/12CT,000HRCHNW,Closed,TPR/ISF,2025-05-24,2025-05-30,605.0,CASE,,605.0,605.0,1.0,7,7,605.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,49,Reported as regular cases
yoy,separate,SDM,CG-SDM,2025,2025,May,Single Serve,SS KComp 6/12ct,TDSSKC-6/12,SS KCOMP 6/12CT,000HRCHNW,Closed,TPR/ISF,2025-05-24,2025-05-30,605.0,CASE,,605.0,605.0,1.0,7,7,605.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,49,Reported as regular cases
yoy,blended,SDM,CG-SDM,2025,2025,May,Instant,Instant Coffee 12/100g,TDIC-12/100,INSTANT COFFEE 12/100GR,000HRCHNW,Closed,TPR/ISF,2025-05-24,2025-05-30,10.0,CASE,,10.0,10.0,1.0,7,7,10.0,DR 2025 - 2026-08-04 (EXCEXP_TLS_000JGVACI).xlsx,Rebates,50,Reported as regular cases
